url,id,genres,tags,specs,price
http://store.steampowered.com/app/901805/Saints_Row_The_Third_Season_Pass_DLC_Pack/,901805,action,action,singleplayer  coop  downloadable content  partial controller support  steam cloud,4.99
http://store.steampowered.com/app/492500/Heroes_of_the_Monkey_Tavern/,492500,action  adventure  indie  rpg,rpg  action  dungeon crawler  adventure  indie  firstperson  gridbased movement  fantasy  partybased rpg  magic  singleplayer  turnbased combat  turnbased  realtime  retro  character customization  atmospheric,singleplayer  steam achievements  steam trading cards  partial controller support  steam cloud,9.99
http://store.steampowered.com/app/526160/The_Wild_Eight/,526160,action  adventure  indie  rpg  simulation  early access,early access  survival  multiplayer  open world  adventure  coop  crafting  online coop  sandbox  indie  atmospheric  singleplayer  action  simulation  difficult  rpg  survival horror  strategy  horror  roguelike,singleplayer  multiplayer  online coop  steam achievements  steam trading cards  captions available,19.99
http://store.steampowered.com/app/455940/OddEven/,455940,casual  indie  strategy,strategy  casual  indie  puzzle  education,singleplayer  steam trading cards  steam cloud,4.99
http://store.steampowered.com/app/219780/Divinity_II_Developers_Cut/,219780,rpg,rpg  fantasy  open world  dragons  third person  action rpg  adventure  action  singleplayer  magic  atmospheric  character customization  comedy  medieval  great soundtrack  female protagonist  funny  story rich,singleplayer,19.99
http://store.steampowered.com/app/752450/CarX_Drift_Racing_Online__Gold/,752450,massively multiplayer  racing  simulation  sports,massively multiplayer  simulation  racing  sports,singleplayer  multiplayer  online multiplayer  downloadable content  steam achievements  steam trading cards  partial controller support,3.99
http://store.steampowered.com/app/619870/Omegaland/,619870,casual  indie,indie  casual  platformer,singleplayer  steam achievements,2.99
http://store.steampowered.com/app/237550/Realms_of_Arkania_Blade_of_Destiny/,237550,adventure  indie  rpg,rpg  adventure  indie  turnbased  fantasy  remake  singleplayer,singleplayer  steam achievements  steam cloud  stats,14.99
http://store.steampowered.com/app/396060/The_Rose_and_I/,396060,no info available,indie  casual  vr,singleplayer  full controller support  htc vive  seated  standing  roomscale,Free
http://store.steampowered.com/app/439450/Party_Jousting__Character_Pack/,439450,casual  free to play  indie  sports,indie  casual  sports  free to play,shared/split screen  downloadable content  partial controller support,0.99
http://store.steampowered.com/app/488998/ePic_Character_Generator__Season_2_Female_Postapocalyptic/,488998,design &amp; illustration  photo editing  utilities,design & illustration  utilities  photo editing,downloadable content  steam trading cards  steam workshop,4.99
http://store.steampowered.com/app/351790/Invisible_Apartment/,351790,adventure  free to play  indie,free to play  anime  visual novel  adventure  female protagonist  cyberpunk  indie  hacking  2d  nudity,singleplayer,23.96
http://store.steampowered.com/app/300550/Shadowrun_Dragonfall__Directors_Cut/,300550,adventure  indie  rpg  strategy,rpg  cyberpunk  turnbased  strategy  scifi  tactical  isometric  story rich  singleplayer  indie  crpg  adventure  fantasy  turnbased tactics  atmospheric  kickstarter  turnbased strategy  moddable  female protagonist  touchfriendly,singleplayer  steam achievements  steam trading cards  steam workshop  steam cloud  includes level editor,14.99
http://store.steampowered.com/app/689950/Rez_Infinite_Digital_Deluxe_DLC/,689950,action  casual  indie,action  indie  casual,singleplayer  downloadable content  steam achievements  full controller support  steam trading cards  steam cloud  steam leaderboards,4.99
http://store.steampowered.com/app/399780/Expand/,399780,adventure  indie,indie  great soundtrack  adventure  minimalist  puzzle,singleplayer  full controller support  captions available,5.99
http://store.steampowered.com/app/667130/Clumsy_Fred/,667130,casual  indie  simulation,indie  casual  simulation  funny  physics  runner  singleplayer  comedy  third person  kickstarter,singleplayer,0.99
http://store.steampowered.com/app/355230/Faceted_Flight/,355230,no info available,early access  simulation  racing  action  adventure  indie  casual  flight  vr,singleplayer  full controller support  steam leaderboards  htc vive  oculus rift  gamepad  seated,6.99
http://store.steampowered.com/app/581800/Super_Cuber/,581800,casual  indie,casual  indie  level editor  platformer  minimalist  side scroller  puzzleplatformer,singleplayer  steam achievements  steam trading cards  steam workshop  partial controller support  steam cloud  stats  steam leaderboards  includes level editor,2.99
http://store.steampowered.com/app/536578/FSX_Steam_Edition_Grumman_F4F_Wildcat__Martlet_AddOn/,536578,simulation,simulation,singleplayer  multiplayer  downloadable content  partial controller support,19.99
http://store.steampowered.com/app/222103/Rocksmith__The_Cure__Love_Song/,222103,casual  simulation,casual  simulation,singleplayer  shared/split screen  downloadable content,2.99
http://store.steampowered.com/app/453890/Black_Rose/,453890,adventure  free to play  indie,free to play  horror  indie  adventure  survival horror  firstperson  singleplayer  multiplayer,singleplayer  partial controller support,Free to Play
http://store.steampowered.com/app/624920/Trapped_With_the_Dolls_VR/,624920,no info available,free to play  adventure  indie  vr  horror,singleplayer  htc vive  tracked motion controllers  roomscale,Free
http://store.steampowered.com/app/226820/Nancy_Drew_Ghost_of_Thornton_Hall/,226820,adventure,adventure  point & click  female protagonist  mystery  singleplayer  puzzle,singleplayer,19.99
http://store.steampowered.com/app/294932/Rocksmith_2014__Deep_Purple__Highway_Star/,294932,casual  simulation,casual  simulation,singleplayer  shared/split screen  downloadable content  steam achievements  steam trading cards  partial controller support  steam cloud  steam leaderboards,2.99
http://store.steampowered.com/app/454010/ASCII_Attack_Soundtrack/,454010,action  indie,action  indie,singleplayer  downloadable content  full controller support  steam cloud,0.99
http://store.steampowered.com/app/520350/Remembering_Pearl_Harbor/,520350,no info available,education,partial controller support  htc vive  tracked motion controllers  standing  roomscale,2.0
http://store.steampowered.com/app/435450/The_Fall_of_the_Dungeon_Guardians_OST/,435450,indie  rpg  strategy,strategy  rpg  indie,singleplayer  downloadable content  steam achievements  steam trading cards  steam workshop  steam cloud  stats  includes level editor,Free to Play
http://store.steampowered.com/app/352680/HIS__P38J_Lightning_RBong_Pack/,352680,action  casual  strategy,action  casual  strategy,singleplayer  multiplayer  coop  downloadable content  partial controller support,64.99
http://store.steampowered.com/app/572020/Darwins_Demons/,572020,action  casual  indie  simulation,action  indie  simulation  casual  science,singleplayer  local multiplayer  local coop  steam achievements  partial controller support  steam cloud  stats  steam leaderboards,4.99
http://store.steampowered.com/app/47932/The_Sims_3_Showtime/,47932,simulation,simulation,singleplayer  downloadable content,19.99
http://store.steampowered.com/app/745060/Hunter_of_antiques/,745060,adventure  indie,adventure  indie,singleplayer  steam cloud,9.99
http://store.steampowered.com/app/626521/FateEXTELLA__Mysterious_Heroine_Outfit/,626521,action,action,singleplayer  downloadable content  partial controller support,1.99
http://store.steampowered.com/app/292860/Pajama_Sams_Lost__Found/,292860,casual,casual  family friendly  adventure  point & click,singleplayer,4.99
http://store.steampowered.com/app/383490/Abducted_Soundtrack/,383490,action  adventure  indie,action  adventure  indie,singleplayer  downloadable content,4.99
http://store.steampowered.com/app/266490/Lili_Child_of_Geos__Complete_Edition/,266490,adventure  indie  rpg,adventure  female protagonist  indie  rpg  singleplayer  casual  fantasy  third person  cute  family friendly,singleplayer  steam achievements  full controller support  steam trading cards  stats  steam leaderboards,14.99
http://store.steampowered.com/app/510450/Fantasy_Grounds__Darkwoulfes_Token_Pack_Volume_13/,510450,indie  rpg  strategy,strategy  rpg  indie,multiplayer  coop  crossplatform multiplayer  downloadable content,4.99
