index,title,url,price
31107,Saints Row: The Third Season Pass DLC Pack,http://store.steampowered.com/app/901805/Saints_Row_The_Third_Season_Pass_DLC_Pack/,4.99
21418,Heroes of the Monkey Tavern,http://store.steampowered.com/app/492500/Heroes_of_the_Monkey_Tavern/,9.99
19245,The Wild Eight,http://store.steampowered.com/app/526160/The_Wild_Eight/,19.99
23603,Odd||Even,http://store.steampowered.com/app/455940/OddEven/,4.99
1158,Divinity II: Developer's Cut,http://store.steampowered.com/app/219780/Divinity_II_Developers_Cut/,19.99
13909,CarX Drift Racing Online - Gold,http://store.steampowered.com/app/752450/CarX_Drift_Racing_Online__Gold/,3.99
16883,Omegaland,http://store.steampowered.com/app/619870/Omegaland/,2.99
1483,Realms of Arkania: Blade of Destiny,http://store.steampowered.com/app/237550/Realms_of_Arkania_Blade_of_Destiny/,14.99
23635,The Rose and I,http://store.steampowered.com/app/396060/The_Rose_and_I/,Free
24080,Party Jousting - Character Pack,http://store.steampowered.com/app/439450/Party_Jousting__Character_Pack/,0.99
17324,ePic Character Generator - Season #2: Female Post-apocalyptic,http://store.steampowered.com/app/488998/ePic_Character_Generator__Season_2_Female_Postapocalyptic/,4.99
27201,Invisible Apartment,http://store.steampowered.com/app/351790/Invisible_Apartment/,23.96
28389,Shadowrun: Dragonfall - Director's Cut,http://store.steampowered.com/app/300550/Shadowrun_Dragonfall__Directors_Cut/,14.99
16330,Rez Infinite Digital Deluxe DLC,http://store.steampowered.com/app/689950/Rez_Infinite_Digital_Deluxe_DLC/,4.99
4487,Expand,http://store.steampowered.com/app/399780/Expand/,5.99
16809,Clumsy Fred,http://store.steampowered.com/app/667130/Clumsy_Fred/,0.99
21175,Faceted Flight,http://store.steampowered.com/app/355230/Faceted_Flight/,6.99
18928,Super Cuber,http://store.steampowered.com/app/581800/Super_Cuber/,2.99
18828,FSX Steam Edition: Grumman F4F Wildcat &amp; Martlet Add-On,http://store.steampowered.com/app/536578/FSX_Steam_Edition_Grumman_F4F_Wildcat__Martlet_AddOn/,19.99
30294,Rocksmith - The Cure - Love Song,http://store.steampowered.com/app/222103/Rocksmith__The_Cure__Love_Song/,2.99
23899,Black Rose,http://store.steampowered.com/app/453890/Black_Rose/,Free to Play
18060,Trapped With the Dolls VR,http://store.steampowered.com/app/624920/Trapped_With_the_Dolls_VR/,Free
30182,Nancy Drew®: Ghost of Thornton Hall,http://store.steampowered.com/app/226820/Nancy_Drew_Ghost_of_Thornton_Hall/,19.99
