,sentiment_analysis,developer,release_date
4674,1,11 bit studios,2011
4353,0,11 bit studios,2014
4354,1,11 bit studios,2014
4355,2,11 bit studios,2014
4582,2,1C Company,2008
3596,1,1C-Avalon,2011
3597,2,1C-Avalon,2011
4680,2,1C: Maddox Games,2006
4912,1,2D BOY,2008
3191,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)",2014
3192,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)",2014
3193,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)",2014
3194,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)",2014
3195,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)",2014
3196,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)",2014
4061,2,"2K Boston,2K Australia",2007
4062,2,"2K Boston,2K Australia",2007
4063,2,"2K Boston,2K Australia",2007
4064,2,"2K Boston,2K Australia",2007
4065,2,"2K Boston,2K Australia",2007
4066,2,"2K Boston,2K Australia",2007
4067,2,"2K Boston,2K Australia",2007
4068,2,"2K Boston,2K Australia",2007
4069,2,"2K Boston,2K Australia",2007
4070,1,"2K Boston,2K Australia",2007
4071,1,"2K Boston,2K Australia",2007
1711,1,"2K Czech,Feral Interactive (Mac)",2011
1712,1,"2K Czech,Feral Interactive (Mac)",2011
1713,2,"2K Czech,Feral Interactive (Mac)",2011
1714,1,"2K Czech,Feral Interactive (Mac)",2011
1715,1,"2K Czech,Feral Interactive (Mac)",2011
5192,2,2K Marin,2013
4233,2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",2010
4662,2,2Play,2013
2369,2,3909,2013
2370,1,3909,2013
2371,2,3909,2013
2372,1,3909,2013
2373,2,3909,2013
2374,1,3909,2013
2375,0,3909,2013
2376,1,3909,2013
2377,2,3909,2013
2378,0,3909,2013
2379,2,3909,2013
2380,2,3909,2013
4588,2,4A Games,2014
4589,1,4A Games,2014
5120,1,5Wolf,2016
4286,1,5th Cell Media,2012
4287,2,5th Cell Media,2012
4288,0,5th Cell Media,2012
5030,1,773,2012
5042,1,800 North and Digital Ranch,2011
4123,2,9heads Game Studios,2014
4124,1,9heads Game Studios,2014
4125,1,9heads Game Studios,2014
5137,2,ACE Team,2009
4820,2,ACQUIRE Corp.,2015
5045,2,ACQUIRE Corp.,2015
5094,2,ALICE IN DISSONANCE,2015
3384,1,AMPLITUDE Studios,2012
3630,1,AMPLITUDE Studios,2014
4423,2,AMPLITUDE Studios,2014
4424,2,AMPLITUDE Studios,2014
4425,2,Abbey Games,2013
4426,2,Abbey Games,2013
5185,2,Abbey Games,2015
5132,1,Abstraction Games,2014
4978,2,Airtight Games,2014
3631,2,Alan Edwardes,2014
3632,2,Alan Edwardes,2014
3633,1,Alan Edwardes,2014
5245,2,Alawar,2014
4289,1,Alexander Bruce,2013
4290,1,Alexander Bruce,2013
4291,2,Alexander Bruce,2013
4292,1,Alexander Bruce,2013
4246,2,Alientrap,2015
4614,1,Alientrap,2017
5283,0,Alientrap,2017
4412,0,Alternative Software Ltd,2014
4666,2,Amanita Design,2009
5140,2,Andrii Vintsevych,2009
4141,2,Ankama Studio,2014
4269,2,Arachnid Games,2013
5091,1,Arc System Works,2015
4809,1,"Arcen Games, LLC",2009
4642,1,Archive Entertainment,2015
4643,1,Archive Entertainment,2015
4644,1,Archive Entertainment,2015
2030,0,Arkane Studios,2012
2031,2,Arkane Studios,2012
2032,2,Arkane Studios,2012
2033,2,Arkane Studios,2012
2034,1,Arkane Studios,2012
2035,2,Arkane Studios,2012
2036,2,Arkane Studios,2012
2037,2,Arkane Studios,2012
2038,2,Arkane Studios,2012
2039,1,Arkane Studios,2012
2040,1,Arkane Studios,2012
2041,1,Arkane Studios,2012
2042,1,Arkane Studios,2012
2043,1,Arkane Studios,2012
2044,2,Arkane Studios,2012
2045,2,Arkane Studios,2012
2026,2,Arkane Studios,2013
5145,1,Arkavi Studios,2014
2689,1,Arrowhead Game Studios,2011
2690,0,Arrowhead Game Studios,2011
2691,1,Arrowhead Game Studios,2011
2692,2,Arrowhead Game Studios,2011
2693,2,Arrowhead Game Studios,2011
2694,2,Arrowhead Game Studios,2011
2695,1,Arrowhead Game Studios,2011
2696,1,Arrowhead Game Studios,2011
2697,1,Arrowhead Game Studios,2011
2698,1,Arrowhead Game Studios,2011
2699,1,Arrowhead Game Studios,2011
2700,1,Arrowhead Game Studios,2011
4956,2,Arrowhead Game Studios,2013
3908,0,Arrowhead Game Studios,2015
4512,0,Arrowhead Game Studios,2015
5124,1,Artery Games,2010
5288,1,Artifice Studio,2013
4103,0,Ascension Entertainment LLC,2008
5180,0,Aspyr,2012
4767,2,Atelier 801,2015
4768,0,Atelier 801,2015
3927,2,Atypical Games,2015
5287,2,Aurelien Regard,2015
5255,0,Avalanche Studios,2006
2215,2,Avalanche Studios,2010
2216,2,Avalanche Studios,2010
2217,1,Avalanche Studios,2010
