,user_id,user_url,reviews,item_id,sentiment_analysis,recommend,pct_recommend
0,76561198047135310,http://steamcommunity.com/profiles/76561198047135310,"[{'funny': '1 person found this review funny', 'posted': 'Posted July 7.', 'last_edited': '', 'item_id': '224480', 'helpful': 'No ratings yet', 'recommend': True, 'review': 'blub blub blub'}, {'funny': '', 'posted': 'Posted July 7.', 'last_edited': '', 'item_id': '220700', 'helpful': 'No ratings yet', 'recommend': True, 'review': 'I like the pixels'}]","['224480', '220700']","['1', '1']","[True, True]",1.0
1,hhaz,http://steamcommunity.com/id/hhaz,"[{'funny': '', 'posted': 'Posted February 13, 2015.', 'last_edited': '', 'item_id': '211420', 'helpful': '0 of 3 people (0%) found this review helpful', 'recommend': False, 'review': ""Literally the ♥♥♥♥♥est game ever made. Very poor controls very poor gameplay and even poorer ''difficulty''. Xbox failing hard with the mechanics of their own game makes it very hard to get anywhere. Game is an unneccessary waste of time""}, {'funny': '', 'posted': 'Posted March 14, 2015.', 'last_edited': '', 'item_id': '241930', 'helpful': 'No ratings yet', 'recommend': True, 'review': '10/10 best orc slasher 2015 - ign'}]","['211420', '241930']","['0', '2']","[False, True]",0.5
2,D_55,http://steamcommunity.com/id/D_55,"[{'funny': '', 'posted': 'Posted March 31, 2015.', 'last_edited': '', 'item_id': '440', 'helpful': 'No ratings yet', 'recommend': True, 'review': 'This has got to be my favourite game on Steam by far! Enhanced graphics, fun playing community and regularly updated servers and items all go toward making this game the top of Free and Paid games! 10/10 and would go higher if possible! Keep the game running and the updates coming guys!'}]",['440'],['2'],[True],1.0
3,76561198072898248,http://steamcommunity.com/profiles/76561198072898248,"[{'funny': '', 'posted': 'Posted December 6, 2013.', 'last_edited': '', 'item_id': '203160', 'helpful': 'No ratings yet', 'recommend': True, 'review': ""I love this game especially the combat and stealth, love the upgrades and skills, graphics and sounds! The only problem i've encountered is that im on the Gondola Transport mission and when the Gondola stops i can't make the rope :/ i can't progress past this and it's really annoying me but i can't seem to find anyone else who has this issue, i'll find a way to fix it and continue loving this game, i would recommend this to anyone who has a brain ;)""}]",['203160'],['0'],[True],1.0
4,76561198055370293,http://steamcommunity.com/profiles/76561198055370293,"[{'funny': '', 'posted': 'Posted July 3, 2014.', 'last_edited': '', 'item_id': '221100', 'helpful': 'No ratings yet', 'recommend': True, 'review': 'saved a man from some bandits, only to be knocked unconscious by the man i saved with a banana... 11/10'}, {'funny': '', 'posted': 'Posted March 7, 2014.', 'last_edited': '', 'item_id': '238320', 'helpful': 'No ratings yet', 'recommend': True, 'review': 'This game is very exceptional, always rasing my expectations. this would havee to be one of my favorite scary genre games.this game really does scary the living Sh!t out of you, you cannot attack and you have to be on your piggies everytime because you never really know what behind the corner. this comming with no fighting aspect also makes it challenging by thinking of your next move, what to do, and ultimatly should i really go for it?. Cause half the time you dont know if ""it"" is coming behind the corner. Some things i do dislike is the the enemies are poorly done, even with such good graphics, the faces are like a raccon attack there face, then again half the time your running away from them XD. the story is good but halfway it starts to chop and change and it can become confusing, also getting trapped in a corner is a proplem-escape is not possible.even with those dislike it is very good, well thought, and stole my sleep.i give it a solid 7/10.'}]","['221100', '238320']","['1', '2']","[True, True]",1.0
5,76561198011714432,http://steamcommunity.com/profiles/76561198011714432,"[{'funny': '', 'posted': 'Posted February 26, 2014.', 'last_edited': '', 'item_id': '104900', 'helpful': 'No ratings yet', 'recommend': False, 'review': ""I feel like i bought a 1$ packet of chips WIHOUT CHIPS IN IT!Quite simply: I CANNOT PLAY IT! ... It's BROKEN! I haven't been able to connect to any servers and when I do, the game crashes!  Why do they even try to sell this game?! Do they seriously expect to make money this way?! Have they even tried the game before selling it?!""}]",['104900'],['0'],[False],0.0
6,76561198050441049,http://steamcommunity.com/profiles/76561198050441049,"[{'funny': '', 'posted': 'Posted October 18, 2015.', 'last_edited': '', 'item_id': '218620', 'helpful': '4 of 4 people (100%) found this review helpful', 'recommend': False, 'review': 'You were the chosen one, Overkill!You were supposed to bring balance to the games industry, not leave it in darkness!'}]",['218620'],['1'],[False],0.0
7,76561198037834066,http://steamcommunity.com/profiles/76561198037834066,"[{'funny': '', 'posted': 'Posted July 28, 2014.', 'last_edited': '', 'item_id': '57300', 'helpful': 'No ratings yet', 'recommend': True, 'review': 'oly crap this ting sared me ike rasy its wsome i love this gamee'}]",['57300'],['1'],[True],1.0
8,swinson123,http://steamcommunity.com/id/swinson123,"[{'funny': '', 'posted': 'Posted May 28, 2014.', 'last_edited': '', 'item_id': '440', 'helpful': '1 of 1 people (100%) found this review helpful', 'recommend': True, 'review': 'it pretty good.i made money from this game so i recommend it for people to play'}]",['440'],['1'],[True],1.0
9,76561198073245886,http://steamcommunity.com/profiles/76561198073245886,"[{'funny': '', 'posted': 'Posted February 14, 2014.', 'last_edited': '', 'item_id': '268750', 'helpful': '2 of 2 people (100%) found this review helpful', 'recommend': True, 'review': 'So fun some1 plz get it so i can play with them'}]",['268750'],['2'],[True],1.0
10,remyau,http://steamcommunity.com/id/remyau,"[{'funny': '', 'posted': 'Posted April 23, 2015.', 'last_edited': 'Last edited December 1, 2015.', 'item_id': '238960', 'helpful': 'No ratings yet', 'recommend': True, 'review': 'Completely free ARPG that does a lot of stuff right.This is what Diablo 3 should have been.'}]",['238960'],['2'],[True],1.0
