,genres,user_id,user_url,playtime_forever,rank
1468,Action,SuNNZ,http://steamcommunity.com/id/SuNNZ,589348,1
1461,Action,Steamified,http://steamcommunity.com/id/Steamified,574446,2
2024,Action,phrostb,http://steamcommunity.com/id/phrostb,474268,3
1713,Action,de_reyals,http://steamcommunity.com/id/de_reyals,461222,4
775,Action,76561198086282677,http://steamcommunity.com/profiles/76561198086282677,384055,5
1904,Action,laerte261,http://steamcommunity.com/id/laerte261,371514,6
79,Action,76561197998873955,http://steamcommunity.com/profiles/76561197998873955,368612,7
1993,Action,note551,http://steamcommunity.com/id/note551,330445,8
1047,Action,AgentXiri,http://steamcommunity.com/id/AgentXiri,325596,9
1811,Action,hemcom,http://steamcommunity.com/id/hemcom,324251,10
1252,Action,JayKayGray,http://steamcommunity.com/id/JayKayGray,316398,11
1894,Action,kodell,http://steamcommunity.com/id/kodell,315190,12
2143,Action,tankedout,http://steamcommunity.com/id/tankedout,293010,13
65,Action,76561197987307155,http://steamcommunity.com/profiles/76561197987307155,288249,14
1932,Action,maneatingzombies,http://steamcommunity.com/id/maneatingzombies,287730,15
915,Action,76561198099625419,http://steamcommunity.com/profiles/76561198099625419,286265,16
1375,Action,Outbackalien,http://steamcommunity.com/id/Outbackalien,276347,17
1281,Action,KrazyAl,http://steamcommunity.com/id/KrazyAl,276263,18
367,Action,76561198057253097,http://steamcommunity.com/profiles/76561198057253097,273405,19
60,Action,76561197980184475,http://steamcommunity.com/profiles/76561197980184475,271941,20
1586,Action,addicTT,http://steamcommunity.com/id/addicTT,261811,21
1274,Action,Kebabsaregood,http://steamcommunity.com/id/Kebabsaregood,258439,22
111,Action,76561198015886143,http://steamcommunity.com/profiles/76561198015886143,255742,23
88,Action,76561198007208545,http://steamcommunity.com/profiles/76561198007208545,253791,24
234,Action,76561198044060397,http://steamcommunity.com/profiles/76561198044060397,253602,25
1105,Action,Calesti,http://steamcommunity.com/id/Calesti,251054,26
1102,Action,COOKIESCOOKIES123,http://steamcommunity.com/id/COOKIESCOOKIES123,249160,27
1231,Action,Hybrid2000,http://steamcommunity.com/id/Hybrid2000,248776,28
314,Action,76561198050543795,http://steamcommunity.com/profiles/76561198050543795,248218,29
866,Action,76561198094074209,http://steamcommunity.com/profiles/76561198094074209,244290,30
1282,Action,Kyle_The_Great,http://steamcommunity.com/id/Kyle_The_Great,242936,31
1785,Action,gearlan,http://steamcommunity.com/id/gearlan,241921,32
2227,Action,xmatiias,http://steamcommunity.com/id/xmatiias,241813,33
1304,Action,LtKYS,http://steamcommunity.com/id/LtKYS,241523,34
1756,Action,fastik4321,http://steamcommunity.com/id/fastik4321,240888,35
121,Action,76561198018739984,http://steamcommunity.com/profiles/76561198018739984,240020,36
1258,Action,JewONOff,http://steamcommunity.com/id/JewONOff,237525,37
2237,Action,yungwarez,http://steamcommunity.com/id/yungwarez,237454,38
1146,Action,DeployableDuck,http://steamcommunity.com/id/DeployableDuck,237385,39
2220,Action,xXAussieRockXx,http://steamcommunity.com/id/xXAussieRockXx,236002,40
2115,Action,space_jumper,http://steamcommunity.com/id/space_jumper,234009,41
1056,Action,Alpha4344,http://steamcommunity.com/id/Alpha4344,230849,42
304,Action,76561198049937609,http://steamcommunity.com/profiles/76561198049937609,230568,43
1315,Action,MarineAnimal,http://steamcommunity.com/id/MarineAnimal,228500,44
2055,Action,reivehnfliyt,http://steamcommunity.com/id/reivehnfliyt,228494,45
1385,Action,PikachuBruh,http://steamcommunity.com/id/PikachuBruh,227995,46
1367,Action,Noongar12,http://steamcommunity.com/id/Noongar12,227616,47
1089,Action,Blood_and_Bone,http://steamcommunity.com/id/Blood_and_Bone,226863,48
1192,Action,Flakerinos,http://steamcommunity.com/id/Flakerinos,226572,49
1101,Action,CF6A32,http://steamcommunity.com/id/CF6A32,225109,50
1208,Action,GermanPenguin,http://steamcommunity.com/id/GermanPenguin,224327,51
1500,Action,TheMGScrub,http://steamcommunity.com/id/TheMGScrub,224058,52
2027,Action,pikawuu2,http://steamcommunity.com/id/pikawuu2,223831,53
158,Action,76561198032373589,http://steamcommunity.com/profiles/76561198032373589,222167,54
2180,Action,u_r_faggot,http://steamcommunity.com/id/u_r_faggot,221420,55
1784,Action,gayanimeguy,http://steamcommunity.com/id/gayanimeguy,221014,56
141,Action,76561198026599584,http://steamcommunity.com/profiles/76561198026599584,218506,57
244,Action,76561198044605552,http://steamcommunity.com/profiles/76561198044605552,215742,58
1296,Action,Liberityneverdies,http://steamcommunity.com/id/Liberityneverdies,214388,59
475,Action,76561198066004879,http://steamcommunity.com/profiles/76561198066004879,211426,60
1407,Action,Rawrimaviking,http://steamcommunity.com/id/Rawrimaviking,211371,61
253,Action,76561198045296161,http://steamcommunity.com/profiles/76561198045296161,210781,62
2051,Action,reddoesstuff,http://steamcommunity.com/id/reddoesstuff,210345,63
115,Action,76561198017154363,http://steamcommunity.com/profiles/76561198017154363,209791,64
1799,Action,gooseisthegreatest,http://steamcommunity.com/id/gooseisthegreatest,209741,65
1699,Action,curtiits,http://steamcommunity.com/id/curtiits,209443,66
1937,Action,marshythemarshmallowman,http://steamcommunity.com/id/marshythemarshmallowman,208963,67
2105,Action,skyheat,http://steamcommunity.com/id/skyheat,208693,68
12,Action,129874182,http://steamcommunity.com/id/129874182,208383,69
1117,Action,CoiL_,http://steamcommunity.com/id/CoiL_,208249,70
369,Action,76561198057416678,http://steamcommunity.com/profiles/76561198057416678,207593,71
1078,Action,BRoLance,http://steamcommunity.com/id/BRoLance,204878,72
1136,Action,DarkZeroZ,http://steamcommunity.com/id/DarkZeroZ,204557,73
1492,Action,TheDapperDuk,http://steamcommunity.com/id/TheDapperDuk,204149,74
1038,Action,ADSKILLER,http://steamcommunity.com/id/ADSKILLER,203969,75
1410,Action,Real_Rotunda,http://steamcommunity.com/id/Real_Rotunda,201685,76
2156,Action,thenoslen,http://steamcommunity.com/id/thenoslen,200573,77
810,Action,76561198089604858,http://steamcommunity.com/profiles/76561198089604858,200236,78
1907,Action,laygittlefiggernaggot,http://steamcommunity.com/id/laygittlefiggernaggot,200025,79
126,Action,76561198021745490,http://steamcommunity.com/profiles/76561198021745490,199099,80
1444,Action,Shtiffles,http://steamcommunity.com/id/Shtiffles,197101,81
1611,Action,av28,http://steamcommunity.com/id/av28,196822,82
462,Action,76561198065043410,http://steamcommunity.com/profiles/76561198065043410,196448,83
1927,Action,maaatzbr,http://steamcommunity.com/id/maaatzbr,196381,84
1514,Action,TheWatchdogEM,http://steamcommunity.com/id/TheWatchdogEM,195721,85
2101,Action,sisgeo,http://steamcommunity.com/id/sisgeo,195605,86
844,Action,76561198092374007,http://steamcommunity.com/profiles/76561198092374007,195388,87
686,Action,76561198079521138,http://steamcommunity.com/profiles/76561198079521138,195255,88
180,Action,76561198036687918,http://steamcommunity.com/profiles/76561198036687918,194988,89
1481,Action,TXVExterminator,http://steamcommunity.com/id/TXVExterminator,194729,90
102,Action,76561198012334657,http://steamcommunity.com/profiles/76561198012334657,194118,91
2072,Action,sawesd,http://steamcommunity.com/id/sawesd,194086,92
770,Action,76561198085748969,http://steamcommunity.com/profiles/76561198085748969,193334,93
1776,Action,frozout,http://steamcommunity.com/id/frozout,192444,94
1285,Action,L4M1NAS,http://steamcommunity.com/id/L4M1NAS,191888,95
61,Action,76561197980614542,http://steamcommunity.com/profiles/76561197980614542,191846,96
245,Action,76561198044619788,http://steamcommunity.com/profiles/76561198044619788,191462,97
1800,Action,greenclaweddragon,http://steamcommunity.com/id/greenclaweddragon,190410,98
2092,Action,shockYO,http://steamcommunity.com/id/shockYO,189488,99
42,Action,66666669999999,http://steamcommunity.com/id/66666669999999,188991,100
473,Action,76561198065863302,http://steamcommunity.com/profiles/76561198065863302,188898,101
1566,Action,Xemta,http://steamcommunity.com/id/Xemta,188506,102
544,Action,76561198070361854,http://steamcommunity.com/profiles/76561198070361854,188039,103
1532,Action,Totesnotasexoffender,http://steamcommunity.com/id/Totesnotasexoffender,187773,104
732,Action,76561198082639535,http://steamcommunity.com/profiles/76561198082639535,187308,105
559,Action,76561198071159917,http://steamcommunity.com/profiles/76561198071159917,184406,106
2164,Action,tickets845,http://steamcommunity.com/id/tickets845,183668,107
220,Action,76561198043112708,http://steamcommunity.com/profiles/76561198043112708,183194,108
51,Action,76561197967609413,http://steamcommunity.com/profiles/76561197967609413,183068,109
1268,Action,Kallepoipoi,http://steamcommunity.com/id/Kallepoipoi,182570,110
238,Action,76561198044426967,http://steamcommunity.com/profiles/76561198044426967,181935,111
1051,Action,Aika2013,http://steamcommunity.com/id/Aika2013,180335,112
